"Phường","Vùng","Quận","Năm thành lập","Tọa độ","Diện tích","Dân số","Mật độ","Mã hành chính"
"An Khánh","Đông Nam Bộ","Thủ Đức","1/1/2021","10°47′2″B 106°44′5″Đ","3,92 km²","23.154 người","5.907 người/km²","31149"
"An Lợi Đông","Đông Nam Bộ","Thủ Đức","1997","10°46′14″B 106°43′23″Đ","3,85 km²","6.270 người","1.629 người/km²","27115"
"An Phú","Đông Nam Bộ","Thủ Đức","1997","10°47′34″B 106°45′8″Đ","10,24 km²","7.548 người","737 người/km²","27091"
"Bình Chiểu","Đông Nam Bộ","Thủ Đức","1997","10°53′3″B 106°43′49″Đ","5,49 km²","19.956 người","3.635 người/km²","26797"
"Bình Thọ","Đông Nam Bộ","Thủ Đức","1997","10°50′50″B 106°46′6″Đ","1,08 km²","11.871 người","10.992 người/km²","26824"
"Bình Trưng Đông","Đông Nam Bộ","Thủ Đức","1997","10°47′7″B 106°46′36″Đ","3,45 km²","8.983 người","2.604 người/km²","27097"
"Bình Trưng Tây","Đông Nam Bộ","Thủ Đức","1997","10°47′0″B 106°44′59″Đ","2,22 km²","11.973 người","5.393 người/km²","27100"
"Cát Lái","Đông Nam Bộ","Thủ Đức","1997","10°46′11″B 106°46′59″Đ","6,69 km²","6.526 người","975 người/km²","27109"
"Hiệp Bình Chánh","Đông Nam Bộ","Thủ Đức","1997","10°50′24″B 106°43′19″Đ","6,26 km²","25.943 người","4.144 người/km²","26812"
"Hiệp Bình Phước","Đông Nam Bộ","Thủ Đức","1997","10°51′15″B 106°43′11″Đ","7,66 km²","17.319 người","2.261 người/km²","26809"
"Hiệp Phú","Đông Nam Bộ","Thủ Đức","1997","10°50′48″B 106°46′40″Đ","2,21 km²","18.925 người","8.563 người/km²","26839"
"Linh Chiểu","Đông Nam Bộ","Thủ Đức","1997","10°51′23″B 106°45′45″Đ","1,41 km²","15.261 người","11.739 người/km²","26815"
"Linh Đông","Đông Nam Bộ","Thủ Đức","1997","10°50′52″B 106°44′39″Đ","2,95 km²","20.327 người","6.891 người/km²","26821"
"Linh Tây","Đông Nam Bộ","Thủ Đức","1997","10°51′33″B 106°45′16″Đ","1,41 km²","13.863 người","9.832 người/km²","26818"
"Linh Trung","Đông Nam Bộ","Thủ Đức","1997","10°51′50″B 106°46′58″Đ","6,81 km²","21.890 người","3.210 người/km²","26800"
"Linh Xuân","Đông Nam Bộ","Thủ Đức","1997","10°52′56″B 106°46′8″Đ","3,83 km²","18.467 người","4.822 người/km²","26794"
"Long Bình","Đông Nam Bộ","Thủ Đức","1997","10°51′57″B 106°49′57″Đ","16,77 km²","14.410 người","864 người/km²","26830"
"Long Phước","Đông Nam Bộ","Thủ Đức","1997","10°48′17″B 106°51′20″Đ","23,49 km²","6.700 người","285 người/km²","26857"
"Long Thạnh Mỹ","Đông Nam Bộ","Thủ Đức","1997","10°51′13″B 106°49′5″Đ","12,99 km²","11.580 người","891 người/km²","26833"
"Long Trường","Đông Nam Bộ","Thủ Đức","1997","10°47′39″B 106°49′13″Đ","12,2 km²","5.576 người","457 người/km²","26860"
"Phú Hữu","Đông Nam Bộ","Thủ Đức","1997","10°47′55″B 106°48′2″Đ","12,41 km²","4.430 người","357 người/km²","26866"
"Phước Bình","Đông Nam Bộ","Thủ Đức","1997","10°48′57″B 106°46′14″Đ","0,88 km²","16.714 người","18.993 người/km²","26863"
"Phước Long A","Đông Nam Bộ","Thủ Đức","1997","10°49′22″B 106°45′44″Đ","4,09 km²","14.160 người","3.462 người/km²","26851"
"Phước Long B","Đông Nam Bộ","Thủ Đức","1997","10°49′7″B 106°46′39″Đ","3,92 km²","14.884 người","3.797 người/km²","26848"
"Tam Bình","Đông Nam Bộ","Thủ Đức","1997","10°52′4″B 106°44′3″Đ","3,41 km²","11.983 người","3.514 người/km²","26803"
"Tam Phú","Đông Nam Bộ","Thủ Đức","1997","10°51′29″B 106°44′19″Đ","2,98 km²","14.973 người","5.024 người/km²","26806"
"Tân Phú","Đông Nam Bộ","Thủ Đức","1997","10°51′40″B 106°47′53″Đ","4,82 km²","12.468 người","2.587 người/km²","26836"
"Tăng Nhơn Phú A","Đông Nam Bộ","Thủ Đức","1997","10°50′37″B 106°47′29″Đ","4,52 km²","15.640 người","3.460 người/km²","26842"
"Tăng Nhơn Phú B","Đông Nam Bộ","Thủ Đức","1997","10°49′50″B 106°47′11″Đ","4,45 km²","8.638 người","1.941 người/km²","26845"
"Thạnh Mỹ Lợi","Đông Nam Bộ","Thủ Đức","1997","10°45′47″B 106°45′56″Đ","12,83 km²","8.355 người","651 người/km²","27112"
"Thảo Điền","Đông Nam Bộ","Thủ Đức","1997","10°48′36″B 106°44′0″Đ","3,75 km²","8.559 người","2.282 người/km²","27088"
"Thủ Thiêm","Đông Nam Bộ","Thủ Đức","1997","10°46′19″B 106°42′54″Đ","3,25 km²","428 người","132 người/km²","26854"
"Trường Thạnh","Đông Nam Bộ","Thủ Đức","1997","10°48′26″B 106°49′4″Đ","10,34 km²","5.894 người","570 người/km²","26854"
"Trường Thọ","Đông Nam Bộ","Thủ Đức","1997","10°49′59″B 106°45′18″Đ","4,09 km²","18.754 người","4.585 người/km²","26827"
